asset,market_slug,polymarket_url,real result,side,filled_shares,avg_fill_price,event_start_time,event_end_time,pnl,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767944700,https://polymarket.com/event/xrp-updown-15m-1767944700,DOWN,DOWN,30,0.46,2026-01-09T07:45:00+00:00,2026-01-09T08:00:00+00:00,16.2,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767945600,https://polymarket.com/event/xrp-updown-15m-1767945600,down,DOWN,30,0.48,2026-01-09T08:00:00+00:00,2026-01-09T08:15:00+00:00,-14.399.999.999.999.900,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767955500,https://polymarket.com/event/xrp-updown-15m-1767955500,down,DOWN,30,4.800.000.106.683.760,2026-01-09T10:45:00+00:00,2026-01-09T11:00:00+00:00,-14.400.000.320.051.300,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767959100,https://polymarket.com/event/xrp-updown-15m-1767959100,down,DOWN,30,4.799.999.999.999.990,2026-01-09T11:45:00+00:00,2026-01-09T12:00:00+00:00,-14.399.999.999.999.900,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767967200,https://polymarket.com/event/xrp-updown-15m-1767967200,down,DOWN,30,4.799.999.999.999.990,2026-01-09T14:00:00+00:00,2026-01-09T14:15:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767972600,https://polymarket.com/event/xrp-updown-15m-1767972600,down,DOWN,30,48.000.000.266.673.500,2026-01-09T15:30:00+00:00,2026-01-09T15:45:00+00:00,1.559.999.991.999.790,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767987900,https://polymarket.com/event/xrp-updown-15m-1767987900,down,DOWN,30,4.799.999.999.999.990,2026-01-09T19:45:00+00:00,2026-01-09T20:00:00+00:00,-14.399.999.999.999.900,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767994200,https://polymarket.com/event/xrp-updown-15m-1767994200,Down,DOWN,30,4.799.999.999.999.990,2026-01-09T21:30:00+00:00,2026-01-09T21:45:00+00:00,-14.399.999.999.999.900,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1768009500,https://polymarket.com/event/xrp-updown-15m-1768009500,down,DOWN,35,48.000.000.457.203.100,2026-01-10T01:45:00+00:00,2026-01-10T02:00:00+00:00,-1.680.000.016.002.110,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1768025700,https://polymarket.com/event/xrp-updown-15m-1768025700,Down,DOWN,16,0.48,2026-01-10T06:15:00+00:00,2026-01-10T06:30:00+00:00,8.32,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1768044600,https://polymarket.com/event/xrp-updown-15m-1768044600,down,DOWN,35,48.000.000.000.000.000,2026-01-10T11:30:00+00:00,2026-01-10T11:45:00+00:00,18.2,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1768049100,https://polymarket.com/event/xrp-updown-15m-1768049100,down,DOWN,35,0.48,2026-01-10T12:45:00+00:00,2026-01-10T13:00:00+00:00,18.2,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1768050900,https://polymarket.com/event/xrp-updown-15m-1768050900,down,DOWN,34,0.46,2026-01-10T13:15:00+00:00,2026-01-10T13:30:00+00:00,,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767879900,https://polymarket.com/event/xrp-updown-15m-1767879900,down,DOWN,20,0.48,2026-01-08T13:45:00+00:00,2026-01-08T14:00:00+00:00,-9.6,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767886200,https://polymarket.com/event/xrp-updown-15m-1767886200,down,DOWN,20,0.48,2026-01-08T15:30:00+00:00,2026-01-08T15:45:00+00:00,-9.6,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767899700,https://polymarket.com/event/xrp-updown-15m-1767899700,down,DOWN,30,0.48,2026-01-08T19:15:00+00:00,2026-01-08T19:30:00+00:00,-14.399.999.999.999.900,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767902400,https://polymarket.com/event/xrp-updown-15m-1767902400,down,DOWN,30,0.48,2026-01-08T20:00:00+00:00,2026-01-08T20:15:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767903300,https://polymarket.com/event/xrp-updown-15m-1767903300,down,DOWN,30,0.48,2026-01-08T20:15:00+00:00,2026-01-08T20:30:00+00:00,-14.399.999.999.999.900,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767906900,https://polymarket.com/event/xrp-updown-15m-1767906900,down,DOWN,30,0.48,2026-01-08T21:15:00+00:00,2026-01-08T21:30:00+00:00,-14.399.999.999.999.900,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767913200,https://polymarket.com/event/xrp-updown-15m-1767913200,down,DOWN,30,0.48,2026-01-08T23:00:00+00:00,2026-01-08T23:15:00+00:00,-14.399.999.999.999.900,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767931200,https://polymarket.com/event/xrp-updown-15m-1767931200,down,DOWN,30,0.48,2026-01-09T04:00:00+00:00,2026-01-09T04:15:00+00:00,-14.399.999.999.999.900,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767938400,https://polymarket.com/event/xrp-updown-15m-1767938400,down,DOWN,6,0.48,2026-01-09T06:00:00+00:00,2026-01-09T06:15:00+00:00,3.12,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767805200,https://polymarket.com/event/xrp-updown-15m-1767805200,down,DOWN,10,0.48,2026-01-07T17:00:00+00:00,2026-01-07T17:15:00+00:00,5.2,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767816000,https://polymarket.com/event/xrp-updown-15m-1767816000,down,DOWN,10,0.48,2026-01-07T20:00:00+00:00,2026-01-07T20:15:00+00:00,5.2,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767816900,https://polymarket.com/event/xrp-updown-15m-1767816900,down,DOWN,10,0.48,2026-01-07T20:15:00+00:00,2026-01-07T20:30:00+00:00,5.2,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767825900,https://polymarket.com/event/xrp-updown-15m-1767825900,down,DOWN,10,0.48,2026-01-07T22:45:00+00:00,2026-01-07T23:00:00+00:00,5.2,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767836700,https://polymarket.com/event/xrp-updown-15m-1767836700,down,DOWN,10,0.48,2026-01-08T01:45:00+00:00,2026-01-08T02:00:00+00:00,5.2,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767847500,https://polymarket.com/event/xrp-updown-15m-1767847500,down,DOWN,10,0.48,2026-01-08T04:45:00+00:00,2026-01-08T05:00:00+00:00,-4.8,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767850200,https://polymarket.com/event/xrp-updown-15m-1767850200,down,DOWN,10,0.48,2026-01-08T05:30:00+00:00,2026-01-08T05:45:00+00:00,-4.8,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767851100,https://polymarket.com/event/xrp-updown-15m-1767851100,down,DOWN,10,0.48,2026-01-08T05:45:00+00:00,2026-01-08T06:00:00+00:00,5.2,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767852900,https://polymarket.com/event/xrp-updown-15m-1767852900,down,DOWN,10,0.48,2026-01-08T06:15:00+00:00,2026-01-08T06:30:00+00:00,5.2,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767864600,https://polymarket.com/event/xrp-updown-15m-1767864600,down,DOWN,10,0.48,2026-01-08T09:30:00+00:00,2026-01-08T09:45:00+00:00,-4.8,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767865500,https://polymarket.com/event/xrp-updown-15m-1767865500,down,DOWN,10,0.48,2026-01-08T09:45:00+00:00,2026-01-08T10:00:00+00:00,5.2,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767866400,https://polymarket.com/event/xrp-updown-15m-1767866400,down,DOWN,10,0.48,2026-01-08T10:00:00+00:00,2026-01-08T10:15:00+00:00,-4.8,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767870000,https://polymarket.com/event/xrp-updown-15m-1767870000,down,DOWN,10,0.48,2026-01-08T11:00:00+00:00,2026-01-08T11:15:00+00:00,5.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1768003200,https://polymarket.com/event/sol-updown-15m-1768003200,DOWN,DOWN,30,480.000.022.673.065,2026-01-10T00:00:00+00:00,2026-01-10T00:15:00+00:00,15.599.999.319.808.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1768005900,https://polymarket.com/event/sol-updown-15m-1768005900,Down,DOWN,35,4.800.000.058.757.060,2026-01-10T00:45:00+00:00,2026-01-10T01:00:00+00:00,18.199.999.794.350.200,,,,,,,,,,,,,,
SOL,sol-updown-15m-1768023900,https://polymarket.com/event/sol-updown-15m-1768023900,down,DOWN,35,48.000.000.000.000.000,2026-01-10T05:45:00+00:00,2026-01-10T06:00:00+00:00,18.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1768030200,https://polymarket.com/event/sol-updown-15m-1768030200,down,DOWN,35,4.799.999.999.999.990,2026-01-10T07:30:00+00:00,2026-01-10T07:45:00+00:00,18.200.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1768050000,https://polymarket.com/event/sol-updown-15m-1768050000,down,DOWN,35,4.799.999.999.999.990,2026-01-10T13:00:00+00:00,2026-01-10T13:15:00+00:00,18.2,,,,,,,,,,,,,,
XRP,xrp-updown-15m-1767800700,https://polymarket.com/event/xrp-updown-15m-1767800700,down,DOWN,10,0.48,2026-01-07T15:45:00+00:00,2026-01-07T16:00:00+00:00,5.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767947400,https://polymarket.com/event/sol-updown-15m-1767947400,down,DOWN,30,0.48,2026-01-09T08:30:00+00:00,2026-01-09T08:45:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767954600,https://polymarket.com/event/sol-updown-15m-1767954600,down,DOWN,30,4.799.999.999.999.990,2026-01-09T10:30:00+00:00,2026-01-09T10:45:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767960000,https://polymarket.com/event/sol-updown-15m-1767960000,down,DOWN,30,48.000.000.000.000.000,2026-01-09T12:00:00+00:00,2026-01-09T12:15:00+00:00,15.6,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767975300,https://polymarket.com/event/sol-updown-15m-1767975300,Down,DOWN,30,4.799.999.999.999.990,2026-01-09T16:15:00+00:00,2026-01-09T16:30:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767982500,https://polymarket.com/event/sol-updown-15m-1767982500,down,DOWN,30,48.000.001.200.369.300,2026-01-09T18:15:00+00:00,2026-01-09T18:30:00+00:00,15.599.999.639.889.100,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767995100,https://polymarket.com/event/sol-updown-15m-1767995100,down,DOWN,30,48.000.000.266.673.500,2026-01-09T21:45:00+00:00,2026-01-09T22:00:00+00:00,-14.400.000.080.002.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767999600,https://polymarket.com/event/sol-updown-15m-1767999600,down,DOWN,30,4.799.999.999.999.990,2026-01-09T23:00:00+00:00,2026-01-09T23:15:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1768002300,https://polymarket.com/event/sol-updown-15m-1768002300,down,DOWN,30,4.799.999.999.999.990,2026-01-09T23:45:00+00:00,2026-01-10T00:00:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767910500,https://polymarket.com/event/sol-updown-15m-1767910500,Down,DOWN,30,0.48,2026-01-08T22:15:00+00:00,2026-01-08T22:30:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767913200,https://polymarket.com/event/sol-updown-15m-1767913200,Down,DOWN,30,0.48,2026-01-08T23:00:00+00:00,2026-01-08T23:15:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767920400,https://polymarket.com/event/sol-updown-15m-1767920400,Down,DOWN,30,0.48,2026-01-09T01:00:00+00:00,2026-01-09T01:15:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767922200,https://polymarket.com/event/sol-updown-15m-1767922200,Down,DOWN,30,0.48,2026-01-09T01:30:00+00:00,2026-01-09T01:45:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767936600,https://polymarket.com/event/sol-updown-15m-1767936600,Down,DOWN,30,0.48,2026-01-09T05:30:00+00:00,2026-01-09T05:45:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767939300,https://polymarket.com/event/sol-updown-15m-1767939300,Down,DOWN,30,0.48,2026-01-09T06:15:00+00:00,2026-01-09T06:30:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767863700,https://polymarket.com/event/sol-updown-15m-1767863700,Down,DOWN,10,0.48,2026-01-08T09:15:00+00:00,2026-01-08T09:30:00+00:00,5.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767870000,https://polymarket.com/event/sol-updown-15m-1767870000,Down,DOWN,10,0.48,2026-01-08T11:00:00+00:00,2026-01-08T11:15:00+00:00,5.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767871800,https://polymarket.com/event/sol-updown-15m-1767871800,Down,DOWN,10,0.48,2026-01-08T11:30:00+00:00,2026-01-08T11:45:00+00:00,5.2,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767875400,https://polymarket.com/event/sol-updown-15m-1767875400,Down,DOWN,20,0.48,2026-01-08T12:30:00+00:00,2026-01-08T12:45:00+00:00,10.4,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767881700,https://polymarket.com/event/sol-updown-15m-1767881700,Down,DOWN,20,0.48,2026-01-08T14:15:00+00:00,2026-01-08T14:30:00+00:00,10.4,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767891600,https://polymarket.com/event/sol-updown-15m-1767891600,Down,DOWN,20,0.48,2026-01-08T17:00:00+00:00,2026-01-08T17:15:00+00:00,10.4,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767892500,https://polymarket.com/event/sol-updown-15m-1767892500,Down,DOWN,20,0.48,2026-01-08T17:15:00+00:00,2026-01-08T17:30:00+00:00,10.4,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767895200,https://polymarket.com/event/sol-updown-15m-1767895200,Down,DOWN,30,0.48,2026-01-08T18:00:00+00:00,2026-01-08T18:15:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767897900,https://polymarket.com/event/sol-updown-15m-1767897900,Down,DOWN,30,0.48,2026-01-08T18:45:00+00:00,2026-01-08T19:00:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
SOL,sol-updown-15m-1767898800,https://polymarket.com/event/sol-updown-15m-1767898800,Down,DOWN,30,0.48,2026-01-08T19:00:00+00:00,2026-01-08T19:15:00+00:00,15.600.000.000.000.000,,,,,,,,,,,,,,
